Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms)
17:00:00.000Z,17:15:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
17:15:00.000Z,17:30:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
17:30:00.000Z,17:45:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
17:45:00.000Z,18:00:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
18:00:00.000Z,18:15:00.000Z,16.973949432373047,,,,,,,,,3,,,,,900000,
18:15:00.000Z,18:30:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
18:30:00.000Z,18:45:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
18:45:00.000Z,19:00:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
19:00:00.000Z,19:15:00.000Z,16.973949154743334,,,,,,,,,,,,,,900000,
19:15:00.000Z,19:30:00.000Z,16.97394875085386,,,,,,,,,,,,,,900000,
19:30:00.000Z,19:45:00.000Z,16.973948995847135,,,,,,,,,,,,,,900000,
19:45:00.000Z,20:00:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
20:00:00.000Z,20:15:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
20:15:00.000Z,20:30:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
20:30:00.000Z,20:45:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
20:45:00.000Z,21:00:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
21:00:00.000Z,21:15:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
21:15:00.000Z,21:30:00.000Z,16.973949432373047,,,,,,,,,2,,,,,900000,
21:30:00.000Z,21:45:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
22:15:00.000Z,22:30:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
22:30:00.000Z,22:45:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
22:45:00.000Z,23:00:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
23:00:00.000Z,23:15:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
23:15:00.000Z,23:30:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
23:30:00.000Z,23:45:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
23:45:00.000Z,00:00:00.000Z,16.973949432373047,,,,,,,,,,,,,,900000,
