Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms)
14:00:00.000Z,14:15:00.000Z,17.203117209224832,,,,,,,,,,,,,,900000,
14:15:00.000Z,14:30:00.000Z,17.203117471288525,,,,,,,,,,,,,,900000,
14:30:00.000Z,14:45:00.000Z,17.203118097860827,,,,,,,,,,,,,,900000,
14:45:00.000Z,15:00:00.000Z,17.203118097860827,,,,,,,,,,,,,,900000,
15:00:00.000Z,15:15:00.000Z,17.20311822321098,,,,,,,,,15,,,,,778154,
15:15:00.000Z,15:30:00.000Z,17.203119023743778,,,,,,,,,48,,,,,,
15:30:00.000Z,15:45:00.000Z,17.203117577254073,,,,,,,,,20,,,,,724974,
15:45:00.000Z,16:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
16:00:00.000Z,16:15:00.000Z,17.20311737060547,,,,,,,,,5,,,,,900000,
16:15:00.000Z,16:30:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000,
16:30:00.000Z,16:45:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000,
16:45:00.000Z,17:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
17:00:00.000Z,17:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
17:15:00.000Z,17:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
17:30:00.000Z,17:45:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000,
17:45:00.000Z,18:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
18:00:00.000Z,18:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
18:15:00.000Z,18:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
18:30:00.000Z,18:45:00.000Z,17.20311737060547,,,,,,,,,20,,,,,900000,
18:45:00.000Z,19:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
19:00:00.000Z,19:15:00.000Z,17.20311737060547,,,,,,,,,10,,,,,900000,
19:15:00.000Z,19:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
19:30:00.000Z,19:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
19:45:00.000Z,20:00:00.000Z,17.20311737060547,,,,,,,,,3,,,,,900000,
20:00:00.000Z,20:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
20:15:00.000Z,20:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
20:30:00.000Z,20:45:00.000Z,17.20311737060547,,,,,,,,,2,,,,,900000,
20:45:00.000Z,21:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
21:00:00.000Z,21:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
21:15:00.000Z,21:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
21:30:00.000Z,21:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
22:15:00.000Z,22:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
22:30:00.000Z,22:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
22:45:00.000Z,23:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
23:00:00.000Z,23:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
23:15:00.000Z,23:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
23:30:00.000Z,23:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
23:45:00.000Z,00:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
